male_name;female_name;last_name
Aaron;Ada;Abakanowicz
Adam;Adela;Abramczyk 
Adrian;Adrianna;Adamiec
Alan;Agata;Adamiuk
Albert;Agnieszka;Adamkiewicz
Alek;Alana;Adamowicz
Aleks;Aleksandra;Aleksandrowicz
Aleksander;Alia;Ambroziak
Aleksy;Alicja;Andrzejak
Alex;Alina;Andrzejczak
Alexander;Amalia;Bachleda
Alfred;Amanda;Baj
Allan;Amelia;Bakuła
Alojzy;Anastazja;Balis
Amadeusz;Andrea;Baran
Amir;Aneta;Bareja
Anastazy;Aniela;Bartyzel
Anatol;Anna;Berent
Andrzej;Antonina;Betlej
Antoni;Apolonia;Białas
Ariel;Arleta;Białek
Arkadiusz;Aurelia;Bienias
Armin;Aurora;Bieniasz
Aron;Barbara;Bies
Artur;Beata;Bizoń
Aureliusz;Berenika;Chlebek
Bartłomiej;Bernadeta;Chmiel
Bartosz;Bianka;Chodura
Bastian;Bogda;Cichy
Beniamin;Bogna;Czachor
Benjamin;Bogumiła;Damboń
Bernard;Bogusława;Dancewicz
Błażej;Cecylia;Danielak
Bogumił;Celina;Dąbek
Bolesław;Czesława;Drewnowicz
Borys;Dagmara;Dziadosz
Bożydar;Daniela;Dziuba
Brajan;Danuta;Dziubdziela
Brayan;Daria;Dziurawiec
Brian;Dąbrówka;Estreich
Bronisław;Debora;Fikus
Bruno;Diana;Filipczak
Bryan;Dobrosława;Filipowicz
Cezary;Dominika;Firląg
Colin;Dorota;Fogiel
Cyprian;Edyta;Franczak
Cyryl;Elena;Frąc
Czesław;Eleonora;Frąckiewicz
Damian;Elif;Frączkiewicz
Daniel;Eliza;Frątczak
Dariusz;Elwira;Gajda
David;Elzna;Gancarczyk
Dawid;Elżbieta;Gawron
Denis;Emilia;Gąsienica
Dezyderiusz;Erna;Giedroyć
Diego;Ewa;Giergielewicz
Dobromił;Ewelina;Glinka
Dominik;Fatima;Golka
Dorian;Faustyna;Gombrowicz
Edward;Felicja;Gondz
Eliasz;Filomena;Gościniak
Emanuel;Florencja;Górka
Emil;Florentyna;Grabarz
Emilian;Franciszka;Grochowiak
Ernest;Gabriela;Gryga
Erwin;Gaja;Grzywak
Eryk;Genowefa;Gucwa
Eugeniusz;Gloria;Gut
Eustachy;Greta;Hejmo
Fabian;Halina;Hermanowicz
Feliks;Hana;Hernik
Felix;Hanna;Hrycyk
Filip;Helen;Ignatowicz
Florian;Helena;Jachimowicz
Franciszek;Honorata;Jagałła
Fryderyk;Hortensja;Jakimowicz
Gabriel;Ida;Janczak
Gniewko;Iga;Jank
Gniewomir;Inga;Jaśkiewicz
Gracjan;Ingrid;Józefowicz
Grzegorz;Inka;Jurczyk
Gustaw;Irena;Kaczmarek
Henryk;Iris;Kaczor
Heronim;Iwona;Kaczorowska
Hubert;Iza;Kaja
Hugo;Izabela;Kalinowscy
Ignacy;Izyda;Kalkstein
Igor;Jadwiga;Kandefer
Ireneusz;Jagna;Karaś
Ivo;Jagoda;Kasperlik
Iwo;Jana;Kasprowicz
Jacek;Janina;Kasprzyk
Jacob;Jaśmina;Katlewicz
Jakub;Leah;Keffermuller
Jan;Leokadia;Kiełbasa
Janusz;Joanna;Kirchner
Jarosław;Jola;Kiszka
Jeremi;Jolanta;Klimczuk
Jeremiasz;Jowita;Klimek
Jerzy;Józefa;Kmiecik
Jędrzej;Judyta;Knothe
Joachim;Julia;Kołłątaj
Joda;Julianna;Kołodziej
Jonasz;Justyna;Konieczko
Jonatan;Kaja;Kononowicz
Jonathan;Kalina;Kopiczko
Józef;Kamila;Korona
Julian;Karina;Korzeniak
Juliusz;Karen;Kot
Kacper;Karolina;Kotowicz
Kajetan;Kasjana;Kowal
Kamil;Katarzyna;Kowalczyk
Karol;Kayla;Kozakiewicz
Kasjan;Kinga;Koziej
Kasper;Kesja;Kozubek
Kaspian;Klara;Krajewska
Kazimierz;Klaudia;Krakowiak
Kevin;Klementyna;Krauze
Kewin;Konstancja;Krawczyk
Klaudiusz;Kornelia;Kreczmar
Klemens;Krystyna;Kubicz
Konrad;Ksenia;Kucharczyk
Konstanty;Lara;Kuczera
Kordian;Larysa;Kukiz
Kornel;Laura;Kulas
Korneliusz;Lena;Kuraś
Kosma;Letycja;Kurcz
Kryspin;Lidia;Kurtyka
Krystian;Lila;Kuryłowicz
Krzesimir;Lilia;Kuźniar
Krzysztof;Lilianna;Kwiek
Ksawery;Lily;Larek
Ksawier;Liwia;Leja
Leo;Liza;Leniart
Leon;Lola;Leśków
Leonard;Lucyna;Lewsza
Leonardo;Luiza;Lilpopow
Leopold;Luna;Małłek
Leszek;Łucja;Maniura
Lew;Magda;Marciniak
Longin;Magdalena;Marcinkiewicz
Lucjan;Maja;Marcol
Ludwik;Malina;Markiewicz
Łazarz;Malika;Masny
Łukasz;Malwina;Matlak
Maciej;Małgorzata;Matuszkiewicz
Maks;Marcela;Mazur
Maksym;Marcelina;Mazurek
Maksymilian;Marcjanna;Mazurkiewicz
Marcel;Margerita;Mazuś
Marceli;Maria;Mąkosza
Marcin;Marianna;Melodystow
Marek;Marietta;Merk
Marian;Marika;Meysztowicz
Mariusz;Marina;Miazga
Martin;Marisa;Michalak
Mateusz;Marysia;Michałek
Maurycy;Marlena;Michnik
Max;Marta;Mirek
Michael;Martyna;Młynarczyk
Michał;Marzanna;Mołdrzyk
Mieszko;Masza;Moskal
Mikołaj;Matylda;Musiał
Milan;Maya;Myśliwiec
Miłosz;Megan;Narkiewicz
Miron;Melania;Niemiec
Mirosław;Melisa;Niewiarow
Natan;Melody;Nowak
Nataniel;Mercedes;Obtułowicz
Nathan;Mia;Ochab
Nathaniel;Michalina;Pakosz
Nicolas;Mija;Palowicz
Nikodem;Mila;Paluszkiewicz
Nikolas;Milena;Panasewicz
Norbert;Miłosława;Pankau
Oktawian;Mira;Pankiewicz
Olaf;Miranda;Panowicz
Oleg;Miriam;Panuś
Olgierd;Mirosława;Pańczyk
Oliver;Monika;Partyka
Olivier;Nadia;Paszek
Oliwer;Natalia;Paszkiewicz
Oliwier;Natasza;Paszkowicz
Oscar;Nel;Paś
Oskar;Nela;Paśniczek
Patryk;Nikola;Patek
Paweł;Nina;Pawełczyk
Philip;Oktawia;Pawełek
Piotr;Olga;Pawełkiewicz
Polikarp;Olimpia;Pawlak
Przemysław;Oliwia;Pawlaszczyk
Radosław;Otylia;Pazura
Rafał;Pamela;Pelc
Remigiusz;Patrycja;Pełka
Robert;Paula;Perepeczko
Roch;Paulina;Peretjatkowicz
Roman;Pelagia;Piątek
Ryan;Penelope;Piecha
Ryszard;Pola;Rataj
Samuel;Renata;Redyk
Sebastian;Regina;Reszke
Sebi;Rita;Romanowicz
Sebion;Roksana;Różewicz
Sergiusz;Roma;Rubinowicz
Seweryn;Rozalia;Rusek
Sławomir;Róża;Rutowicz
Stanisław;Sabina;Sito
Stefan;Salomea;Siudek
Sylwester;Samanta;Skoczylas
Szczepan;Sandra;Skrok
Szymon;Sara;Słomka
Tadeusz;Simona;Słowakiewicz
Teodor;Selena;Smolar
Teofil;Sława;Smolarek
Tobiasz;Sofia;Smolik
Tomasz;Sonia;Snopkiewicz
Tymon;Stanisława;Sojka
Tymoteusz;Stefania;Sopoćko
Tytus;Sylwia;Stachyra
Viktor;Syntia;Stajer
Vincent;Tamara;Stasiuk
Wacław;Tatiana;Tasior
Walenty;Teresa;Tatarkiewicz
Wawrzyniec;Tina;Teodorowicz
Wiktor;Tola;Tomankiewicz
Wincent;Uma;Tyrowicz
Wincenty;Urszula;Tyszka
Witold;Wanda;Unrug
Władysław;Wera;Urbaniak
Wojciech;Weronika;Wachowicz
Xavier;Wiera;Waniek
Xawery;Wiktoria;Warszycki
Zachariasz;Wioletta;Warzager
Zbigniew;Zenobia;Wasiak
Zenon;Zofia;Waszkiewicz
Ziemowit;Zuzanna;Waśkowicz
Zorian;Zyta;Zawiślak
Zygmunt;Żaklina;Zdanowicz
Żelisław;Żaneta;Zych